32368082|bsk-baseline-mc|COMPLETED|298|00:04:58||2
32368082.batch|batch|COMPLETED|298|00:04:58|1873580K|2
32368082.extern|extern|COMPLETED|299|00:04:59|284K|2
32368101|bsk-baseline-mc|COMPLETED|259|00:04:19||2
32368101.batch|batch|COMPLETED|259|00:04:19|1875632K|2
32368101.extern|extern|COMPLETED|259|00:04:19|256K|2
32368102|bsk-baseline-mc|COMPLETED|247|00:04:07||2
32368102.batch|batch|COMPLETED|247|00:04:07|1793740K|2
32368102.extern|extern|COMPLETED|247|00:04:07|256K|2
32368105|bsk-baseline-mc|COMPLETED|240|00:04:00||2
32368105.batch|batch|COMPLETED|240|00:04:00|1869892K|2
32368105.extern|extern|COMPLETED|240|00:04:00|0|2
32368106|bsk-baseline-mc|COMPLETED|337|00:05:37||2
32368106.batch|batch|COMPLETED|337|00:05:37|1868240K|2
32368106.extern|extern|COMPLETED|337|00:05:37|256K|2
32368107|bsk-baseline-mc|COMPLETED|306|00:05:06||2
32368107.batch|batch|COMPLETED|306|00:05:06|1869420K|2
32368107.extern|extern|COMPLETED|306|00:05:06|256K|2
32368114|bsk-baseline-mc|COMPLETED|265|00:04:25||2
32368114.batch|batch|COMPLETED|265|00:04:25|1834124K|2
32368114.extern|extern|COMPLETED|265|00:04:25|0|2
32368164|bsk-baseline-mc|COMPLETED|244|00:04:04||2
32368164.batch|batch|COMPLETED|244|00:04:04|1834896K|2
32368164.extern|extern|COMPLETED|244|00:04:04|0|2
32368171|bsk-baseline-mc|COMPLETED|343|00:05:43||2
32368171.batch|batch|COMPLETED|343|00:05:43|1868672K|2
32368171.extern|extern|COMPLETED|343|00:05:43|256K|2
32368172|bsk-baseline-mc|COMPLETED|306|00:05:06||2
32368172.batch|batch|COMPLETED|306|00:05:06|1868084K|2
32368172.extern|extern|COMPLETED|306|00:05:06|256K|2
32368173|bsk-baseline-mc|COMPLETED|336|00:05:36||2
32368173.batch|batch|COMPLETED|336|00:05:36|1872852K|2
32368173.extern|extern|COMPLETED|336|00:05:36|256K|2
