JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
19955890_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:00:42|2025-11-17T19:48:26|2025-11-17T19:49:08|10|37.50G
19955890_0.batch|batch||COMPLETED|00:00:42|2025-11-17T19:48:26|2025-11-17T19:49:08|10|
19955890_0.extern|extern||COMPLETED|00:00:42|2025-11-17T19:48:26|2025-11-17T19:49:08|10|
19965144|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:05|2025-11-18T10:04:43|2025-11-18T22:04:48|1|3840M
19965144.batch|batch||CANCELLED|12:00:06|2025-11-18T10:04:43|2025-11-18T22:04:49|1|
19965144.extern|extern||COMPLETED|12:00:07|2025-11-18T10:04:43|2025-11-18T22:04:50|1|
20767046|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:17|2025-11-28T08:31:14|2025-11-28T20:31:31|1|3840M
20767046.batch|batch||CANCELLED|12:00:21|2025-11-28T08:31:14|2025-11-28T20:31:35|1|
20767046.extern|extern||COMPLETED|12:00:21|2025-11-28T08:31:14|2025-11-28T20:31:35|1|
20767074_0|sweep_trainDreamer.sh|ami100|COMPLETED|00:03:15|2025-11-28T09:08:07|2025-11-28T09:11:22|10|37.50G
20767074_0.batch|batch||COMPLETED|00:03:15|2025-11-28T09:08:07|2025-11-28T09:11:22|10|
20767074_0.extern|extern||COMPLETED|00:03:15|2025-11-28T09:08:07|2025-11-28T09:11:22|10|
20767085_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:00:44|2025-11-28T09:16:13|2025-11-28T09:16:57|50|100G
20767085_0.batch|batch||COMPLETED|00:00:44|2025-11-28T09:16:13|2025-11-28T09:16:57|50|
20767085_0.extern|extern||COMPLETED|00:00:44|2025-11-28T09:16:13|2025-11-28T09:16:57|50|
20767092_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:00:31|2025-11-28T09:20:14|2025-11-28T09:20:45|50|100G
20767092_0.batch|batch||COMPLETED|00:00:31|2025-11-28T09:20:14|2025-11-28T09:20:45|50|
20767092_0.extern|extern||COMPLETED|00:00:31|2025-11-28T09:20:14|2025-11-28T09:20:45|50|
20767096_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:00:14|2025-11-28T09:22:21|2025-11-28T09:22:35|50|100G
20767096_0.batch|batch||COMPLETED|00:00:14|2025-11-28T09:22:21|2025-11-28T09:22:35|50|
20767096_0.extern|extern||COMPLETED|00:00:14|2025-11-28T09:22:21|2025-11-28T09:22:35|50|
20767098_0|cpu_sweep_trainDreamer.sh|amilan|COMPLETED|00:02:07|2025-11-28T09:24:51|2025-11-28T09:26:58|50|100G
20767098_0.batch|batch||COMPLETED|00:02:07|2025-11-28T09:24:51|2025-11-28T09:26:58|50|
